0.550,PROCEDURAL,CLEAR-BUFFER,RETRIEVAL
0.550,DECLARATIVE,start-retrieval,
0.550,PROCEDURAL,CONFLICT-RESOLUTION,
0.600,DECLARATIVE,RETRIEVED-CHUNK,G
0.600,DECLARATIVE,SET-BUFFER-CHUNK,RETRIEVAL
0.600,PROCEDURAL,CONFLICT-RESOLUTION,
0.600,PROCEDURAL,PRODUCTION-SELECTED,INCREMENT
0.600,PROCEDURAL,BUFFER-READ-ACTION,GOAL
0.600,PROCEDURAL,BUFFER-READ-ACTION,RETRIEVAL
0.650,PROCEDURAL,PRODUCTION-FIRED,INCREMENT
0.650,PROCEDURAL,MOD-BUFFER-CHUNK,GOAL
0.650,PROCEDURAL,MODULE-REQUEST,RETRIEVAL
0.650,PROCEDURAL,CLEAR-BUFFER,RETRIEVAL
0.650,DECLARATIVE,start-retrieval,
0.650,PROCEDURAL,CONFLICT-RESOLUTION,
0.700,DECLARATIVE,RETRIEVED-CHUNK,H
0.700,DECLARATIVE,SET-BUFFER-CHUNK,RETRIEVAL
0.700,PROCEDURAL,CONFLICT-RESOLUTION,
0.700,PROCEDURAL,PRODUCTION-SELECTED,INCREMENT
0.700,PROCEDURAL,BUFFER-READ-ACTION,GOAL
0.700,PROCEDURAL,BUFFER-READ-ACTION,RETRIEVAL
0.750,PROCEDURAL,PRODUCTION-FIRED,INCREMENT
0.750,PROCEDURAL,MOD-BUFFER-CHUNK,GOAL
0.750,PROCEDURAL,MODULE-REQUEST,RETRIEVAL
0.750,PROCEDURAL,CLEAR-BUFFER,RETRIEVAL
0.750,DECLARATIVE,start-retrieval,
0.750,PROCEDURAL,CONFLICT-RESOLUTION,
0.800,DECLARATIVE,RETRIEVED-CHUNK,I
0.800,DECLARATIVE,SET-BUFFER-CHUNK,RETRIEVAL
0.800,PROCEDURAL,CONFLICT-RESOLUTION,
0.800,PROCEDURAL,PRODUCTION-SELECTED,INCREMENT
0.800,PROCEDURAL,BUFFER-READ-ACTION,GOAL
0.800,PROCEDURAL,BUFFER-READ-ACTION,RETRIEVAL
0.850,PROCEDURAL,PRODUCTION-FIRED,INCREMENT
0.850,PROCEDURAL,MOD-BUFFER-CHUNK,GOAL
0.850,PROCEDURAL,MODULE-REQUEST,RETRIEVAL
0.850,PROCEDURAL,CLEAR-BUFFER,RETRIEVAL
0.850,DECLARATIVE,start-retrieval,
0.850,PROCEDURAL,CONFLICT-RESOLUTION,
0.900,DECLARATIVE,RETRIEVED-CHUNK,J
0.900,DECLARATIVE,SET-BUFFER-CHUNK,RETRIEVAL
0.900,PROCEDURAL,CONFLICT-RESOLUTION,
0.900,PROCEDURAL,PRODUCTION-SELECTED,INCREMENT
0.900,PROCEDURAL,BUFFER-READ-ACTION,GOAL
0.900,PROCEDURAL,BUFFER-READ-ACTION,RETRIEVAL
0.950,PROCEDURAL,PRODUCTION-FIRED,INCREMENT
0.950,PROCEDURAL,MOD-BUFFER-CHUNK,GOAL
0.950,PROCEDURAL,MODULE-REQUEST,RETRIEVAL
0.950,PROCEDURAL,CLEAR-BUFFER,RETRIEVAL
0.950,DECLARATIVE,start-retrieval,
0.950,PROCEDURAL,CONFLICT-RESOLUTION,
0.950,PROCEDURAL,PRODUCTION-SELECTED,STOP
0.950,PROCEDURAL,BUFFER-READ-ACTION,GOAL
1.000,DECLARATIVE,RETRIEVAL-FAILURE,
1.000,PROCEDURAL,PRODUCTION-FIRED,STOP
1.000,PROCEDURAL,CLEAR-BUFFER,GOAL
1.000,PROCEDURAL,CONFLICT-RESOLUTION,
